t=1789112854.873s wall=1789112844873ms | player_A: -288ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.878s wall=1789112844878ms | player_A: -283ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.882s wall=1789112844882ms | player_A: -279ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.886s wall=1789112844886ms | player_A: -275ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.892s wall=1789112844892ms | player_A: -269ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.897s wall=1789112844897ms | player_A: -264ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.902s wall=1789112844902ms | player_A: -259ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.907s wall=1789112844907ms | player_A: -254ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.910s wall=1789112844910ms | player_A: -251ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.927s wall=1789112844927ms | player_A: -234ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.961s wall=1789112844961ms | player_A: -200ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112854.992s wall=1789112844992ms | player_A: -169ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.023s wall=1789112845023ms | player_A: -138ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.056s wall=1789112845056ms | player_A: -105ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.087s wall=1789112845087ms | player_A: -74ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.119s wall=1789112845119ms | player_A: -42ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.149s wall=1789112845149ms | player_A: -12ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.180s wall=1789112845180ms | player_A: 19ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.211s wall=1789112845211ms | player_A: 50ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.242s wall=1789112845242ms | player_A: 81ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.273s wall=1789112845273ms | player_A: 112ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.304s wall=1789112845304ms | player_A: 143ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.335s wall=1789112845335ms | player_A: 174ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.366s wall=1789112845366ms | player_A: 205ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.409s wall=1789112845409ms | player_A: 248ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.431s wall=1789112845431ms | player_A: 270ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.464s wall=1789112845464ms | player_A: 303ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.495s wall=1789112845495ms | player_A: 334ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.527s wall=1789112845527ms | player_A: 365ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.559s wall=1789112845559ms | player_A: 398ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.591s wall=1789112845591ms | player_A: 430ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.622s wall=1789112845622ms | player_A: 461ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.653s wall=1789112845653ms | player_A: 492ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.686s wall=1789112845686ms | player_A: 524ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.717s wall=1789112845717ms | player_A: 556ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.748s wall=1789112845748ms | player_A: 587ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.780s wall=1789112845780ms | player_A: 619ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.812s wall=1789112845812ms | player_A: 651ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.844s wall=1789112845844ms | player_A: 683ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.877s wall=1789112845877ms | player_A: 716ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.909s wall=1789112845909ms | player_A: 748ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.941s wall=1789112845941ms | player_A: 780ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112855.974s wall=1789112845974ms | player_A: 813ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.008s wall=1789112846008ms | player_A: 846ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.040s wall=1789112846040ms | player_A: 879ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.072s wall=1789112846072ms | player_A: 910ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.103s wall=1789112846103ms | player_A: 942ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.135s wall=1789112846135ms | player_A: 974ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.167s wall=1789112846167ms | player_A: 1006ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
t=1789112856.199s wall=1789112846199ms | player_A: 1038ms@1789112845.161s q=1 | player_B: WAIT q=0 newest=-
